experiment_id,description,trainable_params,learning_rate,epochs_trained,best_epoch,val_loss,val_accuracy,train_time_sec
RESNET50-BASE-01,Frozen ResNet50 backbone + Classification Head,6147,0.001,10,10,0.0312,0.9833,657.52
RESNET50-FT-01,Fine-tuned Stage 5 residual block with EarlyStopping,14959619,1e-05,7,4,0.004,1.0,505.58
