Experiment,Backbone,Trainable Layers,Learning Rate,Best Val Accuracy,Best Val Loss,Best Epoch,Training Time (min)
MNV2-BASE-01,Frozen,0,0.001,0.9833,0.0784,9,4.77
MNV2-FT-01,13 upper layers fine-tuned,13,1e-05,1.0,0.0319,5,3.02
